"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"60c0c7b6-8f99-4ad4-b7b5-f8baad3a0207","Create role assignment","Succeeded","Administrative","Informational","2024-10-04T08:02:56.589Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Authorization/roleAssignments","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Authorization/roleAssignments/4cb1e269-fd51-4b96-a514-00025fe298d2"
"60c0c7b6-8f99-4ad4-b7b5-f8baad3a0207","Create role assignment","Started","Administrative","Informational","2024-10-04T08:02:52.308Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Authorization/roleAssignments","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Authorization/roleAssignments/4cb1e269-fd51-4b96-a514-00025fe298d2"
"098f83ce-7928-4abe-b810-46160a3cc0c0","Update website","Succeeded","Administrative","Informational","2024-10-04T07:56:07.749Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourcegroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh"
"098f83ce-7928-4abe-b810-46160a3cc0c0","Write tags","Started","Administrative","Informational","2024-10-04T07:45:57.723Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/providers/Microsoft.Resources/tags/default"
"098f83ce-7928-4abe-b810-46160a3cc0c0","Write tags","Succeeded","Administrative","Informational","2024-10-04T07:46:04.395Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourcegroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh"
"7dc9bc66-7dd4-42a2-9dbc-1e54971ca8db","Write Index.js","Succeeded","Administrative","Informational","2024-10-04T07:48:02.289Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Web/sites/hostruntime/vfs/index.js","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/hostruntime/admin/vfs/MiniProjet2"
"7dc9bc66-7dd4-42a2-9dbc-1e54971ca8db","Write Index.js","Started","Administrative","Informational","2024-10-04T07:48:01.399Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Web/sites/hostruntime/vfs/index.js","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/hostruntime/admin/vfs/MiniProjet2"
"5183caac-b9f7-412a-9884-31cfe90e079b","Write Function.json","Succeeded","Administrative","Informational","2024-10-04T07:46:09.054Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Web/sites/hostruntime/vfs/function.json","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/hostruntime/admin/vfs/MiniProjet2"
"5183caac-b9f7-412a-9884-31cfe90e079b","Write Function.json","Started","Administrative","Informational","2024-10-04T07:46:08.366Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Web/sites/hostruntime/vfs/function.json","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/hostruntime/admin/vfs/MiniProjet2"
"0d3fdc17-d03e-4c59-aece-f3278536526d","UpdateWebSite","Succeeded","Administrative","Informational","2024-10-04T07:46:02.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
